hour_of_day,is_ooh,energy_usage_kWh,occupancy_level,supply_cost_per_kWh,unit_rate_billed,usage_per_occupant,margin_ratio,rolling_usage_std_3h,high_risk_flag,region_North,region_South,region_West,contract_type_variable,asset_type_Auto Door System,asset_type_Bakery Oven,asset_type_Display Cooler,asset_type_Elevator,asset_type_Fire Alarm,asset_type_HVAC,asset_type_Hand Dryer,asset_type_Lighting,asset_type_Refrigeration Unit,asset_type_Security Camera,asset_type_Server Rack,asset_type_Smart Meter,asset_type_Solar Panel Inverter,asset_type_Water Pump,hour_bucket_evening,hour_bucket_morning,hour_bucket_night,predicted_margin
21,1,20.244653537973985,0.5581490355714885,0.1077556553004427,0.1575301922690272,36.206185202988976,0.46191829711175547,6.239311121856539,0,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,23.95750466247006
23,1,29.69609360792521,0.8201658273285786,0.1057224870317556,0.1536607703124649,36.163333421378134,0.45343362547811183,5.926439085949663,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,33.94419774514603
18,0,37.96265240440819,0.4751288587460346,0.084594948007032,0.1268886688720613,79.7318870870151,0.4999540772247519,43.733731542040346,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,42.460090287568335
23,1,77.59412418673402,0.6033615899700355,0.1062838652347012,0.1548238640839467,128.39023107107315,0.4567009290110789,20.218739636485612,0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,83.62949787836004
23,1,21.5980567416399,0.4837926666118008,0.0920399656301914,0.1376762869576289,44.551120982476846,0.4958290829838472,11.226118134761983,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,25.543787572767975
23,1,17.83285103945784,0.7576722210683533,0.119525393947294,0.1552847881517308,23.50534334095669,0.2991768130291137,15.946908591239792,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,21.724287377627043
23,1,21.82665821559501,0.3348420998602041,0.0892733400343427,0.1113436932163143,64.99083415891118,0.0,27.18993129803278,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,25.659173951926153
23,1,43.72030699266836,0.4625427863712741,0.0950392263751696,0.138497745152209,94.31773781859832,0.45726818120404483,20.298493300143925,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,48.468174458913325
23,1,30.54153284748171,0.8489878536565025,0.1074206713018151,0.1426784398164357,35.93172857246989,0.32822044975531467,5.8733190345352275,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,34.79806077728867
17,0,95.53346877723943,0.6042987001392359,0.1189256959132795,0.1662878133523002,157.82863692795644,0.39824930506749895,38.53523122906229,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,102.03610170794714
9,0,16.17791148847694,0.8902381191044211,0.0979704049520644,0.1211453425413013,18.15217632828996,0.23654889844920055,17.42583262358664,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,19.10936973582885
13,0,37.01522873759839,0.789545627063577,0.0925487016652945,0.1308966410222876,46.82238123951012,0.41435294850995885,26.48448401313543,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,41.12543876958365
3,1,21.37525515227,0.8875670023262796,0.0871665808299319,0.1212663130164187,24.055873216436478,0.3911998021093738,21.000147274793626,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,24.254858540563323
11,0,67.30898515318731,0.3158129713959637,0.1147875342997781,0.1600390478145309,212.45653186675312,0.3942192435982053,37.540994467181086,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,71.957428146213
23,1,31.05944838661576,0.8106819099148739,0.0846056673010874,0.1262409125694223,38.26554221206329,0.4921075402625158,15.642896146869912,0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,35.488137303001395
23,1,74.67394991416455,0.5897775880888481,0.0962954865714491,0.1309904394185712,126.39942919252077,0.3602962696711749,27.893557703456214,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,80.66081540427749
12,0,19.20863159389692,0.6676696911718227,0.1098183741224042,0.1422002268972118,28.726637153591327,0.29486595049850084,7.236836211290211,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22.31281899192287
23,1,5.453025142368725,0.6653112958852625,0.08014646281372,0.1196894761735331,8.183900192062367,0.49337309722816786,19.474293002026222,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,8.87482694842046
19,1,59.57479219620695,0.7995671483073122,0.0804365712992472,0.1118865908017047,74.415734298078,0.39099073175588867,8.753477738276594,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,64.67547260347428
23,1,27.128030346586225,0.703514534755741,0.0862395758678738,0.0,38.50599101690877,0.4145213487144544,46.43700527331337,0,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,31.70533222800457
6,1,16.578348022320405,0.4315865962319923,0.0912122984661562,0.1141943492829831,38.323767233484936,0.251960527490366,16.490972138987033,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,19.195872949857492
4,1,40.90260859771632,0.6980573079929637,0.0958039741638582,0.1374238729100604,58.511095056212504,0.4344265767620978,7.622977263334435,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,44.38888415827219
23,1,70.41873722267573,0.4344810962084342,0.095957439672359,0.1281199745500355,161.70331579438118,0.33517450434428836,32.460170930502144,0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,76.0970771902941
17,0,20.861734635480367,0.9763650256819736,0.09103525117576,0.1221163777975049,21.344875340637163,0.3414167870508429,14.766722592117327,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,24.50398392011863
23,1,11.70671668442864,0.3801736998348969,0.1141212973076722,0.1477019885886736,30.712288621957217,0.29425217483445393,29.786624096781136,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,15.369469969936778
23,1,35.4181942287787,0.7522315609056998,0.1086984474272227,0.1356361104308325,47.021654517757064,0.2478194829057095,15.24549523870327,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,39.92137521201194
23,1,19.52520847510335,0.4727247617760608,0.088934502520156,0.1295414446076651,41.21635610074634,0.45659116641816033,21.221987500229833,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,23.491714617294875
9,0,46.07519250166708,0.5427102078034864,0.0803184477637305,0.1159642510450505,84.74218773232978,0.44380472919917585,24.852111983053426,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,50.11822978267111
23,1,3.5113158775653663,0.809935409390639,0.1128827248587398,0.1515186827161793,4.329957524242126,0.3422577119573423,29.49090806547013,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6.962045236334621
18,0,5.246919916993125,0.9804335582890528,0.1058648616856101,0.1468539223600596,5.3461794460545615,0.38717589680847675,46.12306522465157,0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8.70828197585128
23,1,55.98023014339751,0.5675349772632327,0.1120059591674158,0.1501916604717137,98.46400376784307,0.3409250783366207,2.6608194569573977,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,60.993009588391686
11,0,50.71549790453711,0.9180063530177272,0.114724387084739,0.1719473122940132,55.18514397425372,0.49878520438157803,29.160016931886748,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,55.33280118630327
23,1,57.19043066958638,0.6115045341173475,0.0999455172707683,0.0,93.3714405102338,0.2040403720749496,29.76134271474402,0,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,62.542671232023054
23,1,67.16592178524903,0.8786718069082542,0.1003904470652129,0.1298147124277544,76.35338686289639,0.293097825389207,37.06524419507663,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,73.16747694234773
23,1,85.95335999771143,0.8335413823257503,0.1126930614465856,0.1415057526799748,102.99472478904691,0.2556737843296969,42.34426421759508,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,92.67414358651104
16,0,46.22401080504236,0.6066604699118536,0.0830097664357844,0.1034401239845653,76.06881324985243,0.2461192842854876,30.462120639545187,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50.78362331822062
14,0,14.470463165968198,0.8295881734701605,0.1006270302397639,0.1324319156333551,17.421947034847904,0.31606484755761294,3.8123305505331855,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,17.52503599884964
23,1,32.30015375262105,0.3198556426221352,0.0890169515563386,0.1226917966697375,100.66880385413776,0.3782956774613762,28.709675478795866,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,36.60848638195303
23,1,100.79451620613784,0.5473814063108835,0.1146150173332883,0.1552710276100754,183.80367212705295,0.35471769782489754,32.274320515785924,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,107.68594213441347
23,1,45.393330102157016,0.9068003918842892,0.1081061139985246,0.1468841943488461,50.00364673552926,0.3587031287586724,13.193431379567427,0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,50.30804426555622
23,1,50.464028747365845,0.811728114635381,0.1064195395894291,0.1327191076606661,62.09214107230168,0.24713054765202846,6.8529412910301755,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,55.44187913140216
23,1,84.7308827046739,0.4721466742562277,0.1027321572656922,0.1241678173693286,179.07952716325926,0.2086555568235422,37.35560547817544,0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,90.97705510278223
20,1,43.616118054355184,0.5922444968407503,0.0847398571122854,0.1072188516024925,73.52131926486868,0.26526990293580505,30.2009396007943,0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,48.31499447413155
23,1,30.517189385247704,0.8783770404836,0.0977118878546683,0.1297551304013128,34.70319098672993,0.3279348684290826,14.273814536666771,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,34.87766746618003
23,1,19.472568331816216,0.6697564775365519,0.0877770202681788,0.1101151286506795,29.030757039174606,0.2544854863497091,7.572014506293599,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,23.202477545937516
23,1,59.88259548409771,0.802686119245686,0.0897773806095726,0.1299350867196957,74.5099287521621,0.4473023287258978,18.156567677384732,0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,65.38279131233236
23,1,34.2170208306982,0.9741466448606158,0.0910694271223185,0.1113053460882665,35.08910276319422,0.22220249611977652,13.03607330829326,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,38.688118376658664
23,1,39.22187510484656,0.4493950636687095,0.1104164504826341,0.1650540946660376,87.08327037459811,0.49483132071810426,6.1666934009458325,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,43.67473431404939
23,1,30.17278473994384,0.6513554211248302,0.0837993443699298,0.1042653065686102,46.252064078686,0.2442248374431247,49.82862042612236,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,34.85738827129093
13,0,42.155141551845006,0.4402675851830976,0.1120823875964815,0.1430650956675395,95.53192431833247,0.2764273956116513,13.009040088830574,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,46.06624354808832
23,1,21.37525515227,0.8875670023262796,0.0871665808299319,0.0,24.055873216436478,0.3911998021093738,7.311603326477198,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,25.31037380539035
12,0,100.9313271835556,0.4535328428983603,0.1046255217550592,0.1564098692371839,222.05508086051594,0.4949490102917991,35.44156188227542,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,107.01595099253127
23,1,7.393879820588972,0.4985920410218864,0.1140910025689115,0.164420802625113,14.799835092379016,0.4411320989830974,31.118185824603643,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,11.025489526927698
9,0,19.89767860139356,0.9205390155966068,0.1142006823773642,0.154284632714093,21.591791844550123,0.3509941718624566,1.5142350637885607,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,22.81935043655675
2,1,54.39064814103004,0.8038338484962395,0.0968340935757811,0.1189975827837565,67.57997099979596,0.2288806174423853,3.118553492302922,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,58.14682838382481
10,0,62.75782484687113,0.6676047539249516,0.0822667360530563,0.1219046736509339,93.8638627357344,0.4818212405756104,25.35684823413702,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,67.57773554842315
1,1,55.33362821268066,0.4046502927086888,0.0810341878735125,0.1035154891252546,136.4072187479416,0.27742921480611094,18.086251443192047,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,58.92334639054128
22,1,7.415859486844703,0.3499089464417831,0.0999139524247797,0.1339372996686709,21.133287030842393,0.34052189146346823,12.491980663176427,1,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,10.679304717676832
9,0,30.63153703791743,0.6007728475602104,0.0978343334013542,0.1348621627719085,50.90215878318203,0.37847353302681225,15.230666703615086,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,34.0663158314961
0,1,12.453691662661557,0.4547062005777249,0.0941862954415353,0.1236882936765258,27.328334894002534,0.3132275941296884,11.38298186458486,1,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,14.523590823364247
23,1,35.15890769347627,0.5126858976479539,0.108412883611044,0.1469201418655935,68.4443700994335,0.35518986256796414,9.290909545205771,0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,39.50381423889614
23,1,35.856767859175704,0.7944981044018575,0.0911936080392349,0.1209440652127232,45.07461131681356,0.3262330203934548,4.844800209113808,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,40.280599259220125
14,0,94.61997654557676,0.9223630089794824,0.0808901053580613,0.1210433164661354,102.47321543685455,0.496391474195045,34.32716694611921,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,101.12524965760849
23,1,30.8035379614837,0.54701945704056,0.0826319321397408,0.1083799433865104,56.208839970446284,0.31159758005901306,9.612452493936168,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,35.014382213507886
14,0,56.41379101689424,0.3285606568514567,0.0895170812613202,0.1258157900310576,171.17877951773139,0.4054939725442457,34.02217601912876,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,60.9206211258911
4,1,39.79828060257483,0.8532724623430248,0.1054367420476238,0.145508590381152,46.58733876709491,0.3800549226010463,20.162019611346427,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,43.41537659685305
23,1,28.41504806087092,0.7719819707239315,0.108390674648738,0.1443804847263435,36.76029860600627,0.3320368042895315,9.596113181101764,0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,32.609255388680836
23,1,46.318309761227205,0.9868099341761556,0.0866331551825684,0.124290910928429,46.88990073769322,0.4346795614258719,15.59927507632082,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,51.3426484552768
23,1,62.4364876424751,0.930216047619604,0.0930915579761012,0.1342423631295661,67.04833728121062,0.44204582293865513,27.310250350439517,0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,68.19119920058994
23,1,25.49467337305328,0.930861511159656,0.0809622864660239,0.10640502130208,27.35886509716064,0.3142526314972491,19.68407408980114,0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,29.722727210413726
15,0,32.061516094355106,0.6435539384189903,0.1138444851150031,0.1646279305432614,49.742177005384484,0.44607612082072695,60.541812652102756,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,36.503559718077014
23,1,13.342941090263572,0.6815735989491875,0.1081269118411241,0.1523281680236777,19.547988833445718,0.40878768347238265,0.6083560138380029,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,16.900841577610144
23,1,8.805035878599728,0.860055386708034,0.1143259401994998,0.1373520324428965,10.225864694097003,0.2014054156416622,12.535517671749774,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,12.203999398430213
23,1,36.57555201897024,0.7256519411243914,0.1020298185103687,0.1304499160221606,50.33434846726582,0.27854623060517775,7.805378392425597,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,41.02921211369464
23,1,50.34281552185665,0.9668774729149844,0.0968158425235523,0.1449039485544163,52.01362458642389,0.49669564520391885,7.5903979190303845,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,55.45054467927852
13,0,20.281094488568662,0.7225596267049629,0.087402428658387,0.1272562940471997,28.029610470290155,0.4559786400807724,6.871660679250594,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,23.532764780798374
23,1,0.0,0.6195316592336828,0.1109928069680172,0.1589042499041332,0.0,0.43166202001744053,39.015881891324206,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3.564021304513804
23,1,3.916639463307592,0.7581713225810196,0.0843587960871636,0.0,5.159098278359433,0.4689094304967366,18.52416066260705,1,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,7.253253360685335
20,1,66.93686988912367,0.6835853006012982,0.105098163057654,0.1553485565588338,97.77725263795524,0.4781275010867347,23.832692293927145,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,72.51611196983912
7,1,65.48826387231138,0.345157174547605,0.0992052062896879,0.1193692353653131,189.18649875709903,0.20325544185471792,22.10399061509905,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,69.69773331834675
1,1,14.120180116849712,0.4569996677490486,0.0937895903147203,0.129828393163431,30.830109956731608,0.3842487273952718,20.540529428128327,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,16.501300053005465
10,0,62.36317329663474,0.7562118994164881,0.0912993489490421,0.111246962713441,82.35894515748123,0.21848544332077766,28.44983551042634,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,67.17051098161782
23,1,52.63289115586493,0.8485587247807598,0.0895128538365429,0.117675359616572,61.95321126205557,0.3146190161173177,9.839249076430136,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,57.740587046735726
18,0,30.10021821966669,0.4210111119673962,0.1182092103537061,0.143980232533767,71.32565320221278,0.21801135186043044,12.643109739930402,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,33.858858629193776
23,1,0.0,0.3543576232003003,0.1071778962487441,0.1418319684757681,0.0,0.32333139246851034,37.59965780771621,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,3.4949444282004563
23,1,87.85295385966603,0.685158574042453,0.1052424232231316,0.1455688013165398,128.03593394175167,0.3831756552425701,48.10231241599348,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,94.66219990736809
23,1,2.90301903131199,0.7383270402151167,0.0898863201566645,0.1254591805882974,3.9265695333790567,0.39573871944596867,22.850506181308596,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,6.25002284255242
14,0,47.82442593758265,0.6525347147758626,0.0,0.1393775256099723,73.17809575576196,0.26649998783372886,6.359369300028618,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,52.05210942444096
11,0,303.9287602011218,0.6514615279127045,0.0967771899492012,0.1350559146250557,465.81866853272254,1.9776695120916572,165.0648132228564,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,319.45593672841665
19,1,92.28136884654462,0.8508842536314407,0.1055700193312166,0.1402689185422101,108.32618216989516,0.3286810385518579,28.4785916476368,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,98.85377267731376
23,1,69.25488788179095,0.4648173985369795,0.1052562865851383,0.153740831109752,148.67389689458554,0.46063261003176637,32.73859767505011,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,75.01201391052773
23,1,86.18669532647432,0.4779847027676719,0.1191173209173465,0.1430913404601012,179.9362168112466,0.20126372895277836,18.822819328135928,0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,92.28433203692288
17,0,0.0,0.4379154929867104,0.098973376693763,0.1351599417250345,0.0,0.3656178422461595,65.47367620013193,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3.4443710185699534
21,1,61.71344686423112,0.840210472128305,0.0940848246981567,0.1375771781585897,73.36267070961799,0.4622666694084351,17.500719288085666,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,67.15932196539828
2,1,109.13679060592042,0.6861213896257035,0.1065615290025783,0.1457670699452423,158.83189237548063,0.3679142707347869,49.226469599754964,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,115.41952795183974
23,1,5.632118129236802,0.3440886243183577,0.0858248776035907,0.1185391794377771,16.3207875668511,0.3811671624070843,9.711070675018524,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8.909129718115757
23,1,30.74040272238223,0.4645571522227129,0.0913682361442113,0.1167117901779442,66.02927820057774,0.27737718129535144,48.68280966630268,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,35.3648771545502
23,1,41.05785561731493,0.8473777877933395,0.0889596904595155,0.1230916285397307,48.39572205692449,0.3836776460873621,3.6757740590293873,0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,45.694974048916066
5,1,95.08813941930477,0.7535462516896285,0.1174349444447532,0.1496244649905952,126.02029260151686,0.27410488310474285,38.59532580774806,0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,100.96237623772551
0,1,16.569074181834186,0.5325276729955846,0.0866482609334399,0.1196488975548946,31.055697802523,0.3808548077839672,27.937734388835977,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,19.093498903579604
23,1,18.044147279686506,0.8085207098207068,0.0947888310595122,0.1280599856651521,22.289914341639186,0.3510008479941387,2.941135062538298,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,21.79912765086334
14,0,75.66183520729287,0.3001400684474114,0.1091636515596709,0.1580285148666686,251.2513050733593,0.4476288897179905,45.19247618305806,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,80.76678926280354
12,0,21.41264062463653,0.3245123127291257,0.1055193745387234,0.1535406602369586,65.78135384529989,0.45509247352597426,32.72749474167828,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24.787774966776038
7,1,30.29393576211498,0.6386591887038946,0.1141600123791831,0.1671804492845162,47.359494394972856,0.46443831329109286,45.895108176037176,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,34.00537143315563
10,0,37.965466919335,0.9524236928936992,0.1125757793909409,0.1609979190943504,39.82014208615635,0.4301282804416015,8.039671958158234,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,41.75236747020348
23,1,9.650714505673555,0.4546237130722421,0.1112477792395509,0.1514696824960936,21.181326232121226,0.3615490475135375,1.2491140579796696,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,12.969928433789127
